Временска ознака	Latin name (type in carefully or paste!)	Taksonomy ID (NCBI)	Whole genome	Type of dormancy	Ordo		
18.12.2014. 20:42:28	Aedes albopictus	7160	1	adult	Diptera	mt	
18.12.2014. 20:43:43	Agrius convolvuli	55055			Lepidoptera		
18.12.2014. 20:44:54	Allonemobius socius	208665			Orthoptera		
18.12.2014. 20:46:24	Antheraea pernyi	7119	1	pupa	Lepidoptera	mt	
18.12.2014. 20:47:31	Antheraea yamamai	7121	1	pupa/larva	Lepidoptera	mt	
18.12.2014. 20:48:22	Anthonomus grandis	7044			Coleoptera		
18.12.2014. 20:49:22	Artemia franciscana	6661	1	embryo	Crustacea	mt	
22.12.2014. 18:35:52	Artemia parthenogenetica	6663			Crustacea		
18.12.2014. 20:50:26	Bactrocera minax	104690	1	pupa	Diptera	mt	
18.12.2014. 20:51:26	Bombus terrestris	30195	1	adult	Hymenoptera		adult
17.12.2014. 14:50:17	Bombyx mori	7091	1	embryo	Lepidoptera		embryo
17.12.2014. 14:51:07	Caenorhabditis elegans	6239	1	adult	Nematoda		
17.12.2014. 14:51:59	Calanus finmarchicus	6837			Crustacea		
17.12.2014. 14:52:29	Chilo suppressalis	168631	1	larva	Lepidoptera	mt	
17.12.2014. 14:53:02	Choristoneura fumiferana	7141			Lepidoptera		
17.12.2014. 14:55:52	Culex pipiens	7175	1	adult	Diptera	mt	
28.01.2015. 11:30:07	Culex pipiens pipiens	38569	1	adult	Diptera	mt	
17.12.2014. 23:35:59	Daphnia galeata	27404			Crustacea		
17.12.2014. 20:06:51	Daphnia longispina	42846			Crustacea		
17.12.2014. 23:37:09	Daphnia pulicaria	35523			Crustacea		
17.12.2014. 14:56:32	Delia antiqua	265456			Diptera		
26.12.2014. 10:44:56	Dendroctonus ponderosae	77166	1	adult	Coleoptera	draft	adult
17.12.2014. 14:57:25	Drosophila melanogaster	7227	1	adult	Diptera		adult
17.12.2014. 14:57:53	Drosophila montana	40370			Diptera		
17.12.2014. 14:58:17	Drosophila triauraria	67534			Diptera		
17.12.2014. 19:49:48	Epiblema scudderiana	111441			Lepidoptera		
17.12.2014. 19:50:13	Eurosta solidaginis	178769			Diptera		
17.12.2014. 19:51:20	Eurygaster maura	1191085			Heteroptera		
17.12.2014. 19:53:07	Galleria mellonella	7137			Lepidoptera		
17.12.2014. 19:54:07	Gastrophysa atrocyanea	169758			Coleoptera		
17.12.2014. 19:55:17	Habrobracon hebetor	69819			Hymenoptera		
17.12.2014. 19:56:15	Haemonchus contortus	6289	1		Nematoda		Nematoda
22.12.2014. 18:39:56	Helicoverpa armigera	29058	1	pupa	Lepidoptera	mt	
17.12.2014. 23:41:30	Helicoverpa assulta	52344	1	pupa	Lepidoptera	mt	
17.12.2014. 19:59:57	Helicoverpa zea	7113			Lepidoptera		
17.12.2014. 20:00:38	Heliotis virescens	7102			Lepidoptera		
16.12.2014. 20:49:02	Hyles euphorbiae	283855			Lepidoptera		
16.12.2014. 20:50:24	Leptinotarsa decemlineata	7539	1	adult	Coleoptera		adult
16.12.2014. 20:51:55	Lucilia sericata	13632	1	larva	Diptera		larva
16.12.2014. 20:52:36	Lymantria dispar	13123	1	larva	Lepidoptera	mt	
16.12.2014. 20:53:08	Manduca sexta	7130	1	pupa	Lepidoptera		pupa
16.12.2014. 20:53:47	Megachile rotundata	143995	1	larva	Hymenoptera	transcriptome	
05.08.2015. 22:38:13	Milnesium tardigradum	46460			Apochela		
16.12.2014. 20:54:29	Nasonia vitripennis	7425	1	larva	Hymenoptera		larva
16.12.2014. 20:55:40	Omphisa fuscidentalis	386629			Lepidoptera		
16.12.2014. 20:56:20	Ostrinia nubilalis	29057	1		Lepidoptera	mt	
16.12.2014. 17:07:44	Paratlanticus ussuriensis	441238			Orthoptera		
16.12.2014. 17:08:28	Praon volucre	55906			Hymenoptera		
16.12.2014. 17:09:23	Pristionchus pacificus	54126	1	adult	Nematoda		Nematoda
16.12.2014. 17:11:18	Pyrrhocoris apterus	37000			Hemiptera		
16.12.2014. 17:12:30	Rhagoletis pomonella	28610			Diptera		
16.12.2014. 17:13:10	Riptortus pedestris	329032	1	adult	Hemiptera	mt	
16.12.2014. 17:13:58	Sarcophaga crassipalpis	59312	1	pupa	Diptera	mt	
16.12.2014. 17:14:59	Sesamia nonagrioides	236805			Lepidoptera		
16.12.2014. 17:16:55	Sitodiplosis mosellana	263140			Diptera		
16.12.2014. 17:17:40	Spongilla lacustris	6055		gemmula	Spongilidae		
16.12.2014. 17:18:15	Tenebrio molitor	7067	1	larvae	Coleoptera	mt	
16.12.2014. 17:19:14	Tetanops myopaeformis	454641			Diptera		
16.12.2014. 17:20:02	Tetranychus urticae	32264	1	adult	Arachnidae		
16.12.2014. 17:20:49	Tortanus forcipatus	197020			Crustacea		
28.01.2015. 11:45:06	Wolbachia endosymbiont of Culex pipiens pipiens	368809			Bacteria		
16.12.2014. 17:21:52	Wyeomyia smithii	174621			Diptera		
			28				